epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,473.785,1.07267,0.80561,0.98356,0.57105,0.00333001,0.00333001,0.00333001
2,856.554,0.26564,0.77416,0.99887,0.76026,0.00653141,0.00653141,0.00653141
3,1264.17,0.19911,0.58062,0.98895,1.52374,0.00960081,0.00960081,0.00960081
4,1758.78,0.21936,0.74724,0.97591,1.24036,0.009406,0.009406,0.009406
5,2129.03,0.15747,0.71663,0.99575,1.01365,0.009208,0.009208,0.009208
6,2495.66,0.11595,0.66478,0.99717,1.4743,0.00901,0.00901,0.00901
7,2857.96,0.09926,0.69991,0.99972,1.31034,0.008812,0.008812,0.008812
8,3256.85,0.0828,0.64494,0.98555,2.08691,0.008614,0.008614,0.008614
9,3605.65,0.07393,0.67526,0.99688,1.5771,0.008416,0.008416,0.008416
10,3930.33,0.06877,0.64919,0.98668,2.12862,0.008218,0.008218,0.008218
11,4252.95,0.05539,0.66903,0.98923,1.82222,0.00802,0.00802,0.00802
12,4579.17,0.06016,0.66931,0.97705,1.1951,0.007822,0.007822,0.007822
13,4913.24,0.05531,0.66081,0.99575,1.13151,0.007624,0.007624,0.007624
14,5243.61,0.0442,0.63814,0.98612,1.9368,0.007426,0.007426,0.007426
15,5581.07,0.04412,0.68603,0.98186,1.70588,0.007228,0.007228,0.007228
16,5916.28,0.04165,0.6815,0.97535,2.33889,0.00703,0.00703,0.00703
17,6250.82,0.04071,0.69708,0.97393,2.36629,0.006832,0.006832,0.006832
18,6589.09,0.03939,0.65769,0.99518,1.88378,0.006634,0.006634,0.006634
19,6925.58,0.03424,0.68858,0.99405,2.02994,0.006436,0.006436,0.006436
20,7267.21,0.03337,0.66988,0.98952,2.17431,0.006238,0.006238,0.006238
21,7602.27,0.02921,0.66733,0.99377,1.62214,0.00604,0.00604,0.00604
22,7936.16,0.03178,0.6815,0.9915,1.96574,0.005842,0.005842,0.005842
23,8275.42,0.03225,0.71323,0.9949,1.66091,0.005644,0.005644,0.005644
24,8613.05,0.02862,0.68008,0.98413,2.34974,0.005446,0.005446,0.005446
25,8949.3,0.02573,0.67101,0.99688,2.10412,0.005248,0.005248,0.005248
26,9286.46,0.02334,0.68065,0.99235,2.05023,0.00505,0.00505,0.00505
27,9627.28,0.02185,0.68376,0.9898,1.69155,0.004852,0.004852,0.004852
28,9968.88,0.02184,0.67668,0.99433,1.87448,0.004654,0.004654,0.004654
29,10306.9,0.02466,0.68036,0.98952,2.24998,0.004456,0.004456,0.004456
30,10649.1,0.02115,0.66024,0.99547,2.26612,0.004258,0.004258,0.004258
31,10991.3,0.02192,0.69028,0.99037,2.00893,0.00406,0.00406,0.00406
32,11335.2,0.01675,0.66393,0.98923,1.87792,0.003862,0.003862,0.003862
33,11675,0.01565,0.69935,0.99632,1.74219,0.003664,0.003664,0.003664
34,12010.3,0.01676,0.69226,0.99603,1.64195,0.003466,0.003466,0.003466
35,12356.5,0.0138,0.68773,0.99377,1.76225,0.003268,0.003268,0.003268
36,12695.5,0.01456,0.68575,0.98895,1.96965,0.00307,0.00307,0.00307
37,13034.9,0.01212,0.68348,0.98668,1.81439,0.002872,0.002872,0.002872
38,13371.8,0.01255,0.67753,0.97818,1.74623,0.002674,0.002674,0.002674
39,13711.4,0.01336,0.67413,0.98158,1.83241,0.002476,0.002476,0.002476
40,14062.7,0.0127,0.68348,0.9864,1.70386,0.002278,0.002278,0.002278
41,14405,0.01205,0.68376,0.99745,1.73608,0.00208,0.00208,0.00208
42,14731.2,0.00933,0.67951,0.99632,1.84049,0.001882,0.001882,0.001882
43,15054.7,0.01057,0.67895,0.99405,1.75412,0.001684,0.001684,0.001684
44,15379.9,0.0097,0.68433,0.99405,1.67891,0.001486,0.001486,0.001486
45,15702.5,0.00902,0.6883,0.99292,1.61221,0.001288,0.001288,0.001288
46,16023,0.00877,0.68291,0.99235,1.62891,0.00109,0.00109,0.00109
47,16351.2,0.00903,0.68036,0.99207,1.67003,0.000892,0.000892,0.000892
48,16677,0.00832,0.67895,0.99263,1.70146,0.000694,0.000694,0.000694
49,16999.7,0.0077,0.67781,0.99263,1.72285,0.000496,0.000496,0.000496
50,17322.5,0.0067,0.67696,0.99207,1.74595,0.000298,0.000298,0.000298
